epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.5703,0.60479,1.83394,0.94284,0.98179,0.97766,0.99468,0.90241,0.40831,1.28195,0.81704,0.00041369,0.00041369,0.00041369
2,112.116,0.55789,0.97555,0.92786,0.99756,1,0.995,0.92377,0.36927,0.9273,0.80806,0.000665946,0.000665946,0.000665946
3,168.837,0.50387,0.76847,0.91682,0.99044,1,0.995,0.95836,0.31011,0.93711,0.80144,0.000753202,0.000753202,0.000753202
4,224.699,0.45488,0.6948,0.90884,0.99788,1,0.995,0.96556,0.25902,0.75249,0.78251,0.0005075,0.0005075,0.0005075
5,280.315,0.40084,0.58017,0.8912,0.99868,1,0.995,0.9861,0.22779,0.6439,0.7776,0.00026,0.00026,0.00026
