t_wall,stamp_ns,name,x,y,z,roll,pitch,yaw,map_x,map_y,linear_x,linear_y,linear_z,speed_xy,angular_z
12.080178770999737,1780932117815000899,track_preview_car,-2.2108911587498046,-0.5919418089602246,-0.00199963964330594,-1.0894588622085319e-07,-4.212124383911508e-06,-1.5449330197243876,33.66864389334167,166.0561838489696,0.0090387992538376,-0.15809617551982297,0.003727123949236359,0.15835435139567794,-0.11862183020570516
12.198814176999804,1780932117933638889,track_preview_car,-2.2111355115261615,-0.593937948637863,0.002638011985096813,-1.5666666616243166e-07,-0.001449693156149273,-1.5448271670735818,33.65821817488377,166.14135247521548,1.6069628562347512e-11,-3.3493187236155583e-11,-0.5782000000566931,3.7148708636613334e-11,9.191620265201834e-09
12.30430798299949,1780932118039128467,track_preview_car,-2.2102976089348947,-0.6091539056570311,-0.0019999909933343892,-5.009459792795334e-08,-5.798870967011099e-08,-1.5493770775213365,33.69396868544449,166.79056664136667,0.005966467692757294,-0.2799424411169792,0.0011171616439411326,0.2800060161411931,0.0019896317403309484
12.407266369999888,1780932118142086474,track_preview_car,-2.2097756353401845,-0.6370760882505934,-0.001999990448583405,-2.2137853780596916e-10,-1.0290054343577731e-07,-1.5482353522514005,33.7162395588188,167.981913098692,0.004977797375577611,-0.2784479183474655,0.0037721733089378026,0.2784924086914204,0.01805490271717085
12.526128515999517,1780932118260947437,track_preview_car,-2.2091281692945315,-0.6705840357412624,-0.0020014186449382014,1.8366301569980085e-05,1.0139181521713551e-06,-1.5464751119861433,33.74386477676666,169.41158552496051,0.005787166124420251,-0.2794395818403153,0.00030022184514720405,0.2794995012354081,0.015245513440156204
12.626529931999357,1780932118361349344,track_preview_car,-2.208521910736021,-0.6985261757657597,-0.002001394964647714,1.825580900232489e-05,8.484605326353993e-07,-1.5453433550199962,33.76973180859643,170.60378349933907,0.00634643228884753,-0.2796096519704398,0.00029507552578988066,0.2796816666816533,0.012233777910790696
12.727875933000178,1780932118462699263,track_preview_car,-2.20786914492823,-0.7264801499847556,-0.0020013957796825165,1.8277874288014223e-05,8.403740261602813e-07,-1.5444251127268132,33.79758314972885,171.79648639934956,0.0068218899435411,-0.2797594596155105,0.00029675713322818926,0.27984262260557136,0.009577597403750622
12.828236094999738,1780932118563055688,track_preview_car,-2.2071709327925153,-0.7544507114707241,-0.00200140383497293,1.8189310895505735e-05,9.923442499836118e-07,-1.5437989116981452,33.82737353418601,172.98989702275088,0.007196863844943262,-0.2798942431325086,0.00030529183603639524,0.27998675359367003,0.007181843910002381
12.949249249999411,1780932118684070095,track_preview_car,-2.206292577024237,-0.7880133519485383,-0.00200141517240187,1.805923334705766e-05,1.2103457262438821e-06,-1.5433016103301305,33.864850046965884,174.42190301647096,0.00761160302831886,-0.2798100289841872,0.0003146789382181815,0.27991353811631264,0.0037631449510556977
13.050089171999389,1780932118784907542,track_preview_car,-2.205537566016389,-0.8159740094649869,-0.002001416818981304,1.802501709441536e-05,1.2536348632407758e-06,-1.5430420953783206,33.89706384996741,175.6148910705061,0.0077813610321477945,-0.2797429333653321,0.00031564611708717236,0.2798511360479948,0.002516648601766836
13.150802385000134,1780932118885622739,track_preview_car,-2.2047677902546354,-0.8439284481269517,-0.0020014097514321006,1.809035553339182e-05,1.1297422251188823e-06,-1.5429046274592342,33.92990761580222,176.80761378674993,0.007896797742648955,-0.2796937882604983,0.00030824587071473297,0.2798052440646829,0.001505358572835568
