id,x,y,z,yaw,map_x,map_y,visits,first_stamp_s,last_stamp_s
1,-1.8852686677466088,2.1919043927170665,0.002027005386604915,3.123085720016588,47.561870176144694,47.27874591073849,5,0.2879483699798584,162.91303300857544
2,-2.0204319347818864,2.197865700038172,-0.0019999921912320635,3.1183541136695916,41.79490411597284,47.02439679837133,6,10.582819938659668,163.33136010169983
3,-2.1670588467042475,2.212735406620906,-0.0020006110706781693,-2.8211053745618426,35.53882254061877,46.38995598417468,9,12.324154138565063,163.6167492866516
4,-2.2419827370905416,2.2212584133101405,-0.00200406976311772,-1.6981970590808453,32.34206988413689,46.02630769876734,4,20.41619849205017,26.604748725891113
5,-2.2518133178811257,2.0737830350214517,-0.0020004556143260223,-1.562589886183834,31.922631770405303,52.3185905057514,3,27.184251308441162,27.941670656204224
6,-2.2506434036612513,1.9314139249722178,-0.0020005222027147137,-1.5584829714808572,31.972548110453275,58.39300586785204,3,28.242924690246582,28.84502601623535
7,-2.248914315910257,1.7884078826826215,-0.0020018483262341136,-1.5541126678603323,32.04632252116237,64.4945970055415,3,29.14724898338318,29.706002712249756
8,-2.2465654505914636,1.6470774101214996,-0.0020017150334760425,-1.550290472872928,32.14654077476422,70.52469716814934,3,29.945806980133057,30.382748126983643
9,-2.2436193542029614,1.503641887660969,-0.002001018089625733,-1.547210511053371,32.27224088734032,76.64461279313198,3,30.58485221862793,30.967875242233276
10,-2.2400819437445887,1.3540180748238544,-0.002002095888799623,-1.5444866031712894,32.42317040023089,83.02856214084889,3,31.146931171417236,31.468525648117065
11,-2.236062769087583,1.2013846043083383,-0.0020014074387922453,-1.5419768372314002,32.594655185596466,89.5409235495109,3,31.628851890563965,31.949202299118042
12,-2.231636919899776,1.0479212387697354,-0.0020014086322805015,-1.5394244508575783,32.78349141760957,96.08869381249129,3,32.109912157058716,32.4250545501709
13,-2.2276585187325244,0.9200437083079797,-0.0020014023505444357,-1.5373028680560101,32.953236534078954,101.54480177885954,2,32.58496570587158,32.743051290512085
14,-2.2233896737562713,0.7921758289641629,-0.0020014041976838784,-1.5351814067375846,33.13537391973243,107.00049796419572,3,32.90651035308838,33.22696900367737
15,-2.218868240684839,0.6643164663721639,-0.0020014132828286455,-1.533066195257152,33.32828839744688,112.455830768121,2,33.38865828514099,33.55057740211487
16,-2.2140582713039634,0.536467593231598,-0.0020014051843702148,-1.530955980428271,33.53351375769756,117.91071602211849,3,33.71079921722412,34.02883791923523
17,-2.2089956808765097,0.4086286903789732,-0.0020014001425100753,-1.5288464225698595,33.74951761593559,123.36517587716381,2,34.19012928009033,34.350953578948975
18,-2.2036461319906007,0.28080128947527777,-0.0020014084632425213,-1.526743864459383,33.977765035067705,128.81914498238814,3,34.510257720947266,34.82730507850647
19,-2.1980456814345946,0.15298456175426373,-0.002001405745636564,-1.5246462320114795,34.21671759212397,134.27265869848475,2,34.996901750564575,35.15794897079468
20,-2.192158000247454,0.025181063317212978,-0.00200140345653583,-1.5225482205326493,34.46792532277529,139.72560796513224,3,35.30968189239502,35.633293867111206
21,-2.1860204605703233,-0.10261077928090066,-0.0020014119396514207,-1.5204554370092938,34.72979368233287,145.1780599159851,2,35.792298793792725,35.95403337478638
22,-2.1795981081854,-0.2303887815188429,-0.0020014065294616267,-1.5183693171178123,35.00381405075626,150.62992134480396,3,36.11315035820007,36.43217420578003
23,-2.1729260279890203,-0.3581537847991392,-0.002001398661199521,-1.5162840041426815,35.28848947246847,156.08122815142994,2,36.59327507019043,36.7537841796875
24,-2.165970019412238,-0.48590370478778677,-0.0020014077648660283,-1.5142038251324674,35.5852791717445,161.5318914042789,3,36.911349058151245,37.2319610118866
25,-2.158766280588302,-0.6136400403188143,-0.0020014091810634906,-1.5121295654580404,35.89263869489912,166.98197505360275,2,37.39278507232666,37.56436586380005
26,-2.1512787171756553,-0.7413597697902244,-0.0020014032323720627,-1.5100555187037719,36.21210806717204,172.43135017771624,3,37.71709060668945,38.036760568618774
27,-2.143544022448936,-0.8690647607585149,-0.0020014093612721936,-1.5079850805374635,36.5421217088454,177.88009645902997,2,38.193538427352905,38.356199741363525
28,-2.1355281271629085,-0.996752674245502,-0.0020014077641291456,-1.505922743205395,36.88413324104924,183.3281141011414,3,38.52947211265564,38.83463764190674
29,-2.127265568012887,-1.1244247014307898,-0.0020013987013524585,-1.5038617811932402,37.23666909811682,188.7754539277137,2,38.99818706512451,39.155744552612305
30,-2.1187220872441492,-1.252078152567319,-0.002001406698270814,-1.5018038877431343,37.60119094424964,194.2220011762056,3,39.31825637817383,39.638694286346436
31,-2.10993396897889,-1.379715190255437,-0.002001411962200034,-1.4997524815373706,37.9761506569007,199.6678481175653,2,39.79803228378296,39.95649695396423
32,-2.10086563007348,-1.5073324396575363,-0.002001403590377866,-1.497702730478649,38.36306645019819,205.11285075872155,3,40.118913888931274,40.440277099609375
33,-2.0987731669550564,-1.6609271604019877,-0.00200131095479113,-1.3809962115854066,38.45234487658426,211.66622551048482,4,41.95847487449646,57.780654191970825
34,-2.1291183497466357,-1.7436408383623625,-0.0020021496757680083,-0.40952507617653683,37.15761707747687,215.19534243679414,7,58.602416038513184,64.70607399940491
35,-1.9734899274653237,-1.7774224214971273,-0.0020012145049035503,-0.041280087389816464,43.79776309481285,216.63668998387743,3,65.02664732933044,65.63721013069153
36,-1.8536203543575356,-1.7823087200320469,-0.001999466491189942,-0.04224515146748233,48.91219821407849,216.84517205470064,2,65.93028688430786,66.22807669639587
37,-1.733810741436838,-1.7873199509914788,-0.0019997030331804816,-0.043514999507302594,54.02407503202825,217.05898457563643,3,66.52564001083374,67.12743830680847
38,-1.5900251096754907,-1.7935247101907061,-0.002000883682199648,-0.04489911904241246,60.158928653845734,217.3237209681368,3,67.43208503723145,68.03012251853943
39,-1.446262781484925,-1.799939325354303,-0.002002649819352312,-0.04636253792437134,66.29278798997655,217.59741121511695,3,68.33050346374512,68.93378901481628
40,-1.3025181717588727,-1.80656205049189,-0.0020018333502698884,-0.04788897427737687,72.4258913382881,217.87998082098733,3,69.23421454429626,69.83364701271057
41,-1.1587832553720983,-1.8133960199935242,-0.002000034560273341,-0.04939573455523596,78.55858110412382,218.1715635197237,3,70.13506126403809,70.73356819152832
42,-1.0150607094383195,-1.8204534382048987,-0.0020021504535481173,-0.05089779428450523,84.69074306396504,218.47268003007565,3,71.03864765167236,71.63586091995239
43,-0.8713429625003043,-1.8277285094828164,-0.002002139247778041,-0.05234403773934163,90.82270026665368,218.78308307126684,3,71.93869876861572,72.53878140449524
44,-0.7515797631448043,-1.8339441391274134,-0.0020027030318668774,-0.053511260956187884,95.93259677248835,219.0482832694363,2,72.83865904808044,73.1450674533844
45,-0.6318188640351332,-1.8402985704281527,-0.0020019102782529185,-0.054674872523506654,101.04239513450098,219.3194056716012,3,73.44542717933655,74.03974223136902
46,-0.4881108673688703,-1.848109992498104,-0.0020002158938609684,-0.056030828801687874,107.17393632559487,219.65269301325242,3,74.33642292022705,74.94596147537231
47,-0.3444134644122265,-1.8561165906734172,-0.0020029283538941923,-0.05740790410766086,113.30502551841167,219.99430786873245,3,75.2401614189148,75.84103155136108
48,-0.20077524061855526,-1.8643302487211617,-0.002001038472709693,-0.05903111483403716,119.43358973360831,220.34475727876958,3,76.14410090446472,76.75650882720947
49,-0.057131598586775134,-1.8727665735406216,-0.0020007037648526143,-0.06062481548985022,125.56238512696426,220.70470713773318,3,77.04339122772217,77.64387130737305
50,0.08652495282847879,-1.881433946891235,-0.0020025957668162726,-0.06204352746674845,131.69173132068175,221.07451506735936,3,77.94630575180054,78.54715466499329
51,0.23016087005179772,-1.8903100299381175,-0.001999966190802066,-0.06353709197993407,137.82019712221003,221.45322794402637,3,78.84398174285889,79.4548966884613
52,0.3737716733531046,-1.8994004640747615,-0.0020014173744389175,-0.065063173408611,143.94759139639913,221.84108646718983,3,79.74578166007996,80.34795641899109
53,0.5173782622056271,-1.908703255234803,-0.0019999010997547805,-0.06648760837283814,150.07480585410676,222.23800555668493,3,80.64619851112366,81.24759984016418
54,0.6609707896587037,-1.9182141458285293,-0.001999933632835876,-0.0679103058119592,156.20142035877137,222.6438035553506,3,81.548419713974,82.1491584777832
55,0.7806261176853133,-1.9262964924123986,-0.0020012581679762134,-0.06904272941949134,161.30671435457336,222.98865034292902,2,82.44839549064636,82.7530267238617
56,0.9002434454261122,-1.934520708012544,-0.0020012177481142433,-0.0703539984679154,166.41038700484745,223.33955020853523,3,83.05199122428894,83.66210055351257
57,1.0437991661795183,-1.9445844402230261,-0.002001136428904275,-0.07174560141368796,172.5354310903261,223.76893611618243,3,83.95173358917236,84.55392670631409
58,1.1873447970650544,-1.9548444144446846,-0.002002164234021268,-0.07314068128469325,178.66004467477566,224.20669501630653,3,84.85333132743835,85.45285415649414
59,1.3308479290407167,-1.965319079618103,-0.0020014050923380902,-0.0746804661964235,184.78284497240392,224.65361406370573,3,85.76709485054016,86.35537385940552
60,1.474343979522688,-1.9760043486870664,-0.001999955238545158,-0.07618141181077183,190.90534312630135,225.10951887731483,3,86.6538405418396,87.25596380233765
61,1.61781574089255,-1.986901288331022,-0.002000150129373901,-0.07774896648888246,197.0268049447488,225.5744549687903,3,87.5559184551239,88.15956854820251
62,1.7612853488513676,-1.998028065504028,-0.0020005510308050774,-0.07917207383703391,203.14817488432502,226.04919746150517,3,88.46120500564575,89.0570662021637
63,1.9047317011250453,-2.00936553526029,-0.002001850019854902,-0.08063113656087571,209.26855258133526,226.53292950443904,3,89.3600811958313,89.95994234085083
64,2.0434036240014777,-2.0201921755063696,-0.0020028392797887926,-0.08586045587913492,215.18522129072971,226.99486615493845,3,95.06714510917664,97.35334873199463
65,2.228855615508842,-2.0755046667640404,-0.0020014027090485102,0.4985481438184582,223.09783959504392,229.3548657819324,10,98.49219298362732,107.54004883766174
66,2.303320557770592,-2.0315525759779924,-0.001999858347094549,1.5431148158444867,226.27501046487862,227.479576575061,3,109.30013298988342,109.84345746040344
67,2.30721744196186,-1.8910133728203513,-0.001999917752453645,1.54239655043261,226.44127752370605,221.48323724033497,3,110.03992342948914,110.44328141212463
68,2.3106562924241327,-1.769216840458601,-0.001999948330360972,1.5416949770684278,226.58800181009633,216.2865851929003,2,110.6443338394165,110.82890796661377
69,2.314291340421001,-1.6433041684100405,-0.0020008643914103054,1.5410142539002445,226.74309719129604,210.91431118549508,3,111.00742697715759,111.36593341827393
70,2.318011247705404,-1.5174040009775163,-0.0020000481307529024,1.5403063033653734,226.90181323543055,205.54257070837403,2,111.54664301872253,111.72508907318115
71,2.3218217219579387,-1.391504852043271,-0.0020021393045053185,1.5395862984765067,227.0643934702054,200.17087368717955,3,111.90554070472717,112.26822400093079
72,2.326507729333573,-1.2404258614541364,-0.001999975838735154,1.5387338644947526,227.26432978489913,193.7248367553765,3,112.45026969909668,112.80769109725952
73,2.331325595358554,-1.0893523010218635,-0.001999962441765544,1.5378624744933265,227.46989206863162,187.27903151026618,3,112.98827338218689,113.35047793388367
74,2.3362776711239146,-0.938286672757649,-0.002001813124441217,1.5369813123935774,227.68118063462038,180.83356470432636,3,113.52811193466187,113.88935708999634
75,2.3413624160920583,-0.7872265168900179,-0.0020018145810760074,1.5360926666435255,227.89812975326117,174.38833138730743,3,114.07028937339783,114.42992115020752
76,2.345694226148516,-0.6613455683270223,-0.0019999691118866344,1.5353347390081913,228.08295364900334,169.0174109152863,2,114.6102705001831,114.79206848144531
77,2.350129464589198,-0.5354640225307183,-0.0020013503120612335,1.5346185275895419,228.27219048913912,163.64646496131064,3,114.97484183311462,115.33025360107422
78,2.354648787210423,-0.4096020195267204,-0.0019999576037929134,1.5337835287324395,228.46501492097804,158.27635283314007,2,115.51269149780273,115.69001078605652
79,2.359278500446811,-0.28372548900725764,-0.001999967786219999,1.5330986025836275,228.66254935239726,152.90562086430967,3,115.87285375595093,116.23290920257568
80,2.3639928461839155,-0.1578487377995612,-0.0019999658392602076,1.5324328620844603,228.86369477051375,147.53487947944794,2,116.41490578651428,116.5966305732727
81,2.368799212989351,-0.031989881850227136,-0.0019999535618524353,1.5317031721236827,229.068766420879,142.1649016256097,3,116.77450299263,117.1329779624939
82,2.3746766634328194,0.11904099911441614,-0.002001193740070226,1.5308015298622446,229.31953763980027,135.72091737111825,3,117.31327652931213,117.67161917686462
83,2.380692952987978,0.2700722160150816,-0.0020009022511631408,1.5299665726912017,229.57623266082038,129.2769187833565,3,117.85204267501831,118.21683692932129
84,2.3868353406722824,0.42109963544845,-0.002002348751908752,1.5291224424169694,229.83830786868407,122.83308222086613,3,118.39737629890442,118.75730919837952
85,2.3931064806961335,0.5721170496985847,-0.002001557462215388,1.528232198388981,230.10587650970172,116.38967254619372,3,118.93826961517334,119.29458737373352
86,2.398430691183404,0.6979523997524839,-0.002000605468704544,1.5274547251341932,230.33304282382522,111.02069761056069,2,119.48007535934448,119.66726994514465
87,2.403857447061997,0.823798367123437,-0.0020021769754357418,1.5267927756434447,230.56458440797854,105.65126966940002,3,119.83681869506836,120.19963717460632
88,2.409367728607632,0.9496303535302668,-0.0019999422448570767,1.5260715816324437,230.79968975392563,100.28243824937529,2,120.38026881217957,120.56151223182678
89,2.414972923178445,1.0754519041991715,-0.0020000231683216228,1.5252850937408744,231.03884472228032,94.91405208750203,3,120.73818826675415,121.10026049613953
90,2.420666509722394,1.201283790540177,-0.0020045065258998684,1.5245922711743296,231.28177108148878,89.54522493695245,2,121.27892231941223,121.46013188362122
91,2.4264589001470203,1.3271050151155566,-0.00199995201679856,1.523877187800229,231.52891307293953,84.17685268840293,3,121.63880825042725,122.00379729270935
92,2.433521936333357,1.478083392330684,-0.0019999612903054405,1.5229702634622795,231.83026928355656,77.73510859389083,3,122.18158745765686,122.53828644752502
93,2.4407196206062403,1.629058829500676,-0.0020005476314596013,1.5220999735813618,232.1373704791996,71.2934899413045,3,122.71827101707458,123.08029961585999
94,2.4480488510716505,1.7800330779165474,-0.002000942827978595,1.521300135337529,232.4500843123904,64.85192200889398,3,123.25988459587097,123.6229157447815
95,2.4913320373401593,1.9843292094458047,-0.002001201854326139,2.069449662970383,234.2968335931801,56.13528706364566,18,123.8021867275238,147.87679290771484
