stamp_s,segment_id,x,y,z,yaw,map_x,map_y,linear_cmd,angular_cmd
0.28026628494262695,2,-1.828125,2.179688,0.018138,-3.141592307179587,50.0,47.79997866666666,0.0,0.0
20.4050612449646,2,-1.8738271975992231,2.179646254481752,-0.0019999665142962824,-3.1415270274820566,48.05003956909981,47.801759808778584,0.04,0.0
21.30874013900757,2,-1.9190948352964217,2.1796344887810353,-0.001999805864991401,3.1415636712971686,46.11862036068601,47.802261812009164,0.08,0.0
21.88465642929077,2,-1.9653769200619586,2.179627276043774,-0.0020011488084719837,3.1415619800266352,44.14391807735643,47.80256955546564,0.08,0.0
22.471505403518677,2,-2.011715506691537,2.1796245881157907,-0.0019999691897705065,3.1415355183349214,42.166805047827765,47.802684240392935,0.08,0.0
23.048807621002197,2,-2.058098130739729,2.179626360809802,-0.0019999796326789767,3.1415168577979213,40.18781308843823,47.802608605448455,0.08,0.0
23.63017511367798,2,-2.1044520811336622,2.179626689256309,-0.0020026419865223893,3.141499290283566,38.21004453829708,47.80259459173081,0.08,0.0
26.535640716552734,2,-2.150217551145078,2.1795554588088817,-0.0019984519656627243,3.1409256821164795,36.257384484476674,47.80563375748771,0.04,0.0
27.6720974445343,2,-2.195649974760201,2.1795657269967528,-0.0019999764816269064,3.140750285612557,34.31893441023142,47.80519564813855,0.04,0.0
30.399625062942505,2,-2.2104051218914473,2.1954921042878266,-0.0020032991825746646,-2.940871882621846,33.689381465964914,47.12567021705273,0.0,0.25
31.248605489730835,2,-2.215107314413511,2.210855068925271,-0.0020051026177642256,-2.7373087714991127,33.48875458502353,46.47018372585511,0.0,0.25
32.05864119529724,2,-2.2231447699146343,2.2246754154039237,-0.0019999639373151027,-2.534772711789436,33.14582315030894,45.88051560943259,0.0,0.25
32.88191533088684,2,-2.2345651779628137,2.2361910323925787,-0.0019999575173388563,-2.3317758933727446,32.65855240691995,45.389182617916646,0.0,0.25
33.703195333480835,2,-2.2484629848355326,2.244757596169279,-0.001999953277057039,-2.128596310587597,32.06557931368394,45.02367589677742,0.0,0.25
34.553327798843384,2,-2.2633338870599804,2.251487138129527,-0.00199991599863056,-1.9242347206647055,31.43108748544084,44.736548773140186,0.0,0.25
35.36157822608948,2,-2.2790175671973287,2.255165733143816,-0.001999950570321993,-1.7231492240986124,30.76191713291398,44.57959538586384,0.0,0.25
36.0654296875,2,-2.2950143161510295,2.2557290039399684,-0.001999921396664998,-1.5228961015494846,30.07938917755608,44.55556249856134,0.0,0.5
36.48571181297302,2,-2.3112317085376555,2.253779846313201,-0.0019999906970571296,-1.3173013568903038,29.387447102393367,44.63872655730343,0.0,0.5
36.84438133239746,2,-2.327169495732808,2.248383108888066,-0.001999803720317089,-1.1047419061734278,28.707434848733513,44.86898735410918,0.0,0.75
37.125420808792114,2,-2.341011875402414,2.2403679788528206,-0.0019998499851641175,-0.9020556069638789,28.116826649497,45.210966235612986,0.0,0.75
37.40616583824158,2,-2.353149549582867,2.229619905330962,-0.002003467058934789,-0.6976501617499863,27.598952551131006,45.66955070587895,0.0,1.0
37.627686500549316,2,-2.3633290500134176,2.2167257665594238,-0.0020041259606386258,-0.4918755164557758,27.164627199427514,46.219700626797916,0.0,1.0
37.82677912712097,2,-2.3703406073519955,2.202254842372242,-0.0020043947402406522,-0.290682037363819,26.865467419648198,46.837126725451,0.0,1.0
38.03039050102234,2,-2.3741120947487744,2.1864190841621958,-0.002004944873216918,-0.08751867400213446,26.70455062405229,47.51278574241299,0.0,1.0
38.246394872665405,2,-2.374893849288907,2.1692093127759566,-0.002001529617445487,0.12811114877234958,26.67119576367331,48.24706932155918,0.0,1.25
