stamp_s,segment_id,x,y,z,yaw,map_x,map_y,linear_cmd,angular_cmd
0.2768118381500244,2,-1.828125,2.179688,0.018138,-3.141592307179587,50.0,47.79997866666666,0.0,0.0
19.67367959022522,2,-1.8735847717559007,2.1796674772871816,-0.0019999799035449075,-3.14106778239362,48.060383071748234,47.80085430241358,0.12,0.0
20.011967420578003,2,-1.9206392353633681,2.1796415604194155,-0.0019999088036337263,-3.141099097683482,46.05272595782962,47.80196008877161,0.2,0.0
20.266601085662842,2,-1.9685072892763193,2.179623843855058,-0.0020036087729048244,-3.140991345453483,44.01035565754371,47.80271599551752,0.2,0.0
20.492694854736328,2,-2.016498346854765,2.1796011013009053,-0.002003555005689485,-3.1408853987989245,41.96273720086337,47.80368634449471,0.2,0.0
20.734771728515625,2,-2.064489142857052,2.1795745655119094,-0.002003505109213386,-3.1407581129095417,39.91512990476578,47.80481853815853,0.2,0.0
20.973920583724976,2,-2.1124300285330726,2.1795400869545833,-0.0019999624821698267,-3.140671586795769,37.869652115922236,47.80628962327111,0.2,0.0
21.21303415298462,2,-2.160363068388866,2.179502512559847,-0.002004193297468198,-3.140595052335703,35.82450908207505,47.80789279744654,0.2,0.0
21.45591449737549,2,-2.208337142799142,2.1794564038034165,-0.0020017187331455195,-3.1401107217555806,33.77761524056994,47.80986010438757,0.2,0.0
21.69362163543701,2,-2.2563085033353385,2.179397879909355,-0.0020017188057440474,-3.1394949794452756,31.730837191025557,47.81235712386753,0.2,0.0
21.930919885635376,2,-2.3042688424391624,2.179323324228376,-0.0020037747152063952,-3.1388729688987325,29.68452938926241,47.81553816625596,0.2,0.0
22.175257682800293,2,-2.3522206296110646,2.1792313701868076,-0.002001423425315235,-3.138196878086862,27.638586469927915,47.81946153869622,0.2,0.0
22.415144205093384,2,-2.4001812026382616,2.1791206071163476,-0.0020014015137968686,-3.1370789698060144,25.59226868743417,47.824187429702505,0.2,0.0
22.651315450668335,2,-2.448139656981493,2.178973464884612,-0.002001406233434913,-3.135751189975486,23.54604130212296,47.830465498256544,0.2,0.0
22.897196292877197,2,-2.4961010713760245,2.1787648491550526,-0.0020014104901392026,-3.1344279857041637,21.499687621289624,47.839366436051094,0.2,0.0
23.137643098831177,2,-2.5440632421248446,2.1784905416540075,-0.002001404161406457,-3.1331184659146394,19.453301669339965,47.851070222762345,0.2,0.0
23.37676501274109,2,-2.59202571776351,2.178149837183424,-0.0020014009688390693,-3.1318156781735995,17.406902708756903,47.865606946840586,0.2,0.0
23.62064218521118,2,-2.6399876353736436,2.1777477570394312,-0.0020014076725950332,-3.1305154379893674,15.360527557391208,47.88276236631761,0.2,0.0
23.85860848426819,2,-2.687948414876958,2.1772864490446673,-0.0020014105261943376,-3.1292136984690493,13.314200965249782,47.902444840760865,0.2,0.0
24.097036361694336,2,-2.7359088697482945,2.176760871820096,-0.0020014037421939596,-3.127915787177414,11.267888224072763,47.92486946900924,0.2,0.0
24.33565664291382,2,-2.783869067085398,2.1761698276739994,-0.0020014012498890225,-3.1266221236813454,9.22158647102303,47.950087352576034,0.2,0.0
24.581611156463623,2,-2.8318282779971726,2.1755182716356605,-0.0020014082381497964,-3.125330050056359,7.175326805453963,47.97788707687849,0.2,0.0
24.81993794441223,2,-2.8797860570463585,2.174807736148439,-0.0020014103410155417,-3.124036006676209,5.1291282326887,48.00820325766661,0.2,0.0
25.057044744491577,2,-2.927677894459032,2.1739937914414473,-0.00243626816318352,-3.1231738487528653,3.085743169747971,48.04293156516492,0.2,0.0
