epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,479.653,0.55327,1.33253,0.96624,0.9484,0.95213,0.95518,0.86227,0.33657,2.41583,0.68481,0.000415441,0.000415441,0.000415441
2,973.438,0.57468,0.58702,0.97213,0.92163,0.93816,0.97066,0.88442,0.34512,1.19302,0.67968,0.000830838,0.000830838,0.000830838
3,2326.76,0.55838,0.50706,0.94597,0.96585,0.98816,0.98527,0.89363,0.3569,0.49967,0.69998,0.00124116,0.00124116,0.00124116
4,3109.3,0.54932,0.47417,0.95481,0.99679,0.99491,0.995,0.93939,0.28396,0.80613,0.65813,0.0012329,0.0012329,0.0012329
5,3928.82,0.50561,0.42328,0.93027,0.97814,0.98674,0.99363,0.93765,0.27848,0.46474,0.64846,0.00121972,0.00121972,0.00121972
