t_wall,stamp_ns,name,x,y,z,roll,pitch,yaw,map_x,map_y,linear_x,linear_y,linear_z,speed_xy,angular_z
0.01656671599994297,1780929718384453295,track_preview_car,0.7471281691258308,0.3516579920092766,-0.002003426869971329,3.750018056482993e-08,-4.337758879952851e-05,3.141205761876678,159.87746854936879,125.79592567427086,-0.2799980119947585,0.0004200445309779006,-0.0034534845037606375,0.2799983270636182,0.002592156149173669
0.13236142799996742,1780929718500246043,track_preview_car,0.713559656608822,0.351673401955855,-0.0019999757251434164,-1.4034477865799078e-09,-2.5659150474553844e-07,3.1412878755582585,158.44521201530975,125.79526818321685,-0.27973789326462395,-9.266311712808463e-05,0.0017946519989758142,0.27973790861194237,0.0014697872755587314
0.23440421199984485,1780929718602289429,track_preview_car,0.6855848412230025,0.3516840605074016,-0.0020027211648128945,-3.049991983520316e-11,2.864311839711087e-05,3.1413516332484104,157.25161989218145,125.79481341835087,-0.27884586774873954,-7.233089320237889e-05,-0.0005205913646049527,0.2788458771298325,0.000531848418399632
0.3528794280000511,1780929718720773541,track_preview_car,0.6520069589956059,0.3516937973383502,-0.00200274040841394,-6.284856482179931e-08,-3.523445534061485e-05,3.141467883612126,155.81896358381252,125.79439798023039,-0.2799664804511423,0.00013325948321746007,-0.0027571430515790562,0.2799665121658119,0.0015488743953770334
0.45282382899995355,1780929718820708695,track_preview_car,0.6240274027845356,0.3516980904237569,-0.0020041983181125775,-4.024620475680263e-12,4.4192535778809556e-05,3.141561116714795,154.6251691854735,125.79421480858637,-0.2791754078495076,1.017399421385028e-05,-0.0031792675833271495,0.2791754080348931,-0.00011181396458845431
0.5560391069998332,1780929718923925226,track_preview_car,0.5960472080584011,0.35169952086099304,-0.00199998951492985,-1.2608043262918152e-09,-1.1408220135275204e-07,-3.1415519807211996,153.4313475438251,125.79415377659762,-0.27961609000039406,2.354278817327419e-05,0.0032969985184734614,0.2796160909915081,-0.00024946457817716556
0.6567335639997509,1780929719024653657,track_preview_car,0.5680690545260982,0.3516994802223849,-0.0020055395111077162,2.0026441749260518e-08,5.285517160367967e-05,-3.1414920165733755,152.23761299311352,125.79415551051157,-0.279196377138505,0.00021904722424979142,-0.005558604794456123,0.27919646306669565,-0.002476563300478194
0.7587358369996764,1780929719126621164,track_preview_car,0.5400930822932002,0.3516977329668592,-0.002000259259291467,-3.384871717605448e-05,2.8382037856674684e-05,-3.1414292002420927,151.04397151117655,125.79423006008068,-0.2798068575055379,0.00020427521433475878,-0.00028296839511517607,0.2798069320718978,0.0012805953068856372
0.8587323929996273,1780929719226638910,track_preview_car,0.5121125370609122,0.3516939446767251,-0.0019999724627364586,8.551968981054533e-10,-2.832412784282789e-07,-3.141352783679034,149.85013491459893,125.79439169379306,-0.27981118696743074,-0.00012578545625246422,0.0009475608051623991,0.27981121524003194,0.001576549845615171
0.9593797499996981,1780929719327266840,track_preview_car,0.48413736063352014,0.3516894519810435,-0.0019984468412809456,5.715814138504812e-08,1.907131369563798e-05,-3.1413028757578,148.6565273870302,125.79458338214215,-0.279910791455292,-0.0001594662123674408,0.00511584607225772,0.2799108368795336,-6.65791540363676e-05
