source,target,bidirectional,visits,length_m,segment_ids
1,2,True,1,0.09439096284090671,[2]
2,3,True,1,0.09593178747761895,[2]
3,4,True,1,0.09593181076235636,[2]
4,5,True,1,0.09591541298266598,[2]
5,6,True,1,0.09592371311960968,[2]
6,7,True,1,0.07194543273882781,[2]
7,8,True,1,0.0959270125599748,[2]
8,9,True,1,0.09586190565671227,[2]
